name,net_sharpe,gross_sharpe,net_pct,gross_pct,fee_pct,winrate,pf,max_dd,t_month,n_trades,calmar,frac_pct,sl_hits,tp_hits
"WR(p14,et20)+RM2x3",-2.012,-1.064,-1.19,-0.63,0.56,35.3,0.85,-0.9,12.3,751,-0.81,1.9,73,16
Chandelier(p14)+RM15x3,-2.065,-0.361,-1.97,-0.34,1.63,32.7,1.09,-0.9,30.3,1844,-0.28,2.2,181,66
"SAR(af0.02,et50)+RM15x3",-2.097,-0.202,-2.78,-0.27,2.52,31.7,1.05,-1.7,29.9,1818,-0.17,3.5,204,66
"WR(p14,et20)+RM15x3",-2.122,-0.845,-0.97,-0.39,0.58,31.6,0.88,-0.8,12.9,783,-0.66,1.9,93,26
"WR(p7,et20)+RM15x3",-2.338,-0.815,-1.05,-0.37,0.68,31.9,0.95,-0.6,23.7,1442,-0.56,1.2,163,45
"CCI(p14,et20)+RM1x3",-2.427,-0.64,-1.11,-0.29,0.82,29.1,1.03,-0.5,16.1,979,-0.46,2.1,129,46
"CCI(p14,et20)+RM15x3",-2.433,-1.036,-1.24,-0.53,0.71,32.2,0.92,-0.8,15.2,924,-0.69,1.9,103,30
"WR(p7,et20)+RM2x3",-2.522,-1.243,-1.3,-0.64,0.66,35.7,0.92,-0.8,21.9,1335,-0.76,1.2,122,27
"CCI(p14,et20)+RM2x3",-2.622,-0.992,-1.35,-0.51,0.84,36.3,0.95,-1.1,14.6,891,-0.65,2.4,78,20
"WR(p7,et20)+RM15x2",-2.666,-0.963,-1.1,-0.4,0.7,35.2,0.94,-0.6,24.9,1512,-0.67,1.2,165,81
"CCI(p14,et20)+RM15x2",-2.733,-0.853,-1.2,-0.38,0.83,37.1,1.01,-0.8,15.4,939,-0.42,2.2,98,54
"WR(p7,et20)+RM1x3",-2.889,-0.791,-1.27,-0.35,0.92,28.1,0.97,-0.6,26.7,1627,-0.63,1.4,217,71
Chandelier(p14)+RM2x3,-3.003,-0.129,-2.26,-0.1,2.16,35.2,1.09,-1.4,28.8,1749,-0.04,3.1,118,43
"CCI(p14,et20)+RM1x2",-3.19,-0.641,-0.87,-0.17,0.69,35.0,0.98,-0.4,16.2,986,-0.42,1.8,120,65
"WR(p14,et20)+RM15x2",-3.201,-0.676,-0.87,-0.18,0.69,36.1,0.94,-0.7,13.1,794,-0.51,2.2,89,45
"WR(p14,et50)+RM2x3",-3.318,-0.982,-1.65,-0.49,1.16,38.3,0.98,-1.3,16.3,993,-0.52,2.9,98,25
Turtle(en15)+RM15x2,-3.414,-0.739,-5.82,-1.26,4.56,35.7,1.07,-2.6,63.9,3888,-0.37,2.9,357,212
Turtle(en15)+RM1x3,-3.553,-0.53,-5.58,-0.83,4.75,29.1,1.07,-2.3,69.2,4207,-0.33,2.8,531,191
"WR(p7,et20)+RM1x2",-3.65,-1.0,-1.27,-0.35,0.92,33.6,0.95,-0.5,27.8,1693,-0.76,1.4,210,105
Turtle(en15)+RM1x2,-4.518,-0.124,-5.65,-0.16,5.5,34.7,1.07,-2.2,80.3,4882,0.25,2.8,581,322
"WR(p14,et20)+RM1x3",-5.279,-0.447,-0.86,-0.07,0.79,28.7,0.99,-0.7,13.7,836,-0.33,2.4,113,38
"HA(cb2,et20)+RM1x2",-5.916,-0.182,-2.84,-0.09,2.75,33.2,1.06,-0.9,30.1,1832,0.05,3.8,178,107
"CCI(p20,et50)+RM15x3",-7.114,-0.298,-1.22,-0.05,1.16,34.1,1.06,-1.3,12.5,760,-0.22,3.8,86,27
"SAR(af0.01,et50)+RM15x2",-7.151,-0.236,-3.01,-0.1,2.91,36.2,1.06,-1.7,27.9,1697,-0.13,4.3,189,99
"HA(cb2,et20)+RM1x3",-12.726,-0.434,-3.18,-0.11,3.07,28.6,1.05,-1.2,29.7,1804,-0.05,4.3,188,71
"WR(p14,et20)+RM1x2",-24.465,-0.558,-0.78,-0.02,0.76,34.4,0.97,-0.7,13.9,846,-0.36,2.3,105,55
