name,group,net_sharpe,net_pct,gross_pct,fee_pct,winrate,pf,max_dd,t_month,n_trades,calmar,frac_pct
MktStruct+RM15x3+f60,MktStruct,0.834,0.15,0.18,0.02,54.7,3.91,-0.1,0.5,58,3.92,2.0
MktStruct+RM2x2+f40,MktStruct,0.912,0.17,0.19,0.02,63.5,inf,-0.1,0.5,58,inf,2.0
MktStruct+RM2x2+f60,MktStruct,0.912,0.17,0.19,0.02,63.5,inf,-0.1,0.5,58,inf,2.0
MACD_RSI+RM1x2+f40,MACD_RSI,-0.684,-3.18,4.25,7.43,36.7,1.18,-3.4,29.4,3581,1.54,10.4
MACD_RSI+RM1x2+f60,MACD_RSI,-0.579,-2.97,4.74,7.71,36.7,1.18,-3.6,29.4,3581,1.59,10.8
MACD_RSI+RM1x3+f40,MACD_RSI,-0.251,-1.57,5.34,6.92,29.0,1.2,-3.9,28.7,3490,1.33,9.9
MACD_RSI+RM1x3+f60,MACD_RSI,-0.217,-1.44,5.67,7.11,29.0,1.2,-4.2,28.7,3490,1.35,10.2
MACD_RSI+RM15x2+f40,MACD_RSI,-0.299,-2.3,5.31,7.61,36.7,1.17,-6.0,27.0,3287,0.85,11.6
MACD_RSI+RM15x2+f60,MACD_RSI,-0.136,-1.2,6.86,8.06,36.7,1.17,-6.4,27.0,3287,1.01,12.3
MACD_RSI+RM15x3+f40,MACD_RSI,-0.111,-1.18,6.59,7.77,33.2,1.21,-6.8,26.3,3198,1.05,12.2
MACD_RSI+RM15x3+f60,MACD_RSI,0.033,0.41,8.62,8.21,33.2,1.21,-7.3,26.3,3198,1.19,12.8
MACD_RSI+RM2x2+f40,MACD_RSI,-0.049,-0.51,7.5,8.01,38.4,1.21,-7.1,25.3,3074,1.06,13.0
MACD_RSI+RM2x2+f60,MACD_RSI,0.101,1.21,9.7,8.48,38.4,1.21,-7.7,25.3,3074,1.23,13.8
LinearReg+RM1x2+f40,LinearReg,-0.524,-2.69,5.38,8.08,38.0,1.21,-3.3,26.6,3237,1.64,12.5
LinearReg+RM1x2+f60,LinearReg,-0.454,-2.53,5.78,8.31,38.0,1.21,-3.3,26.6,3237,1.71,12.8
LinearReg+RM1x3+f40,LinearReg,0.293,1.87,9.02,7.15,31.6,1.32,-3.6,22.6,2750,2.41,13.0
LinearReg+RM1x3+f60,LinearReg,0.347,2.38,9.74,7.36,31.6,1.32,-3.6,22.6,2750,2.54,13.4
LinearReg+RM15x2+f40,LinearReg,0.265,2.7,10.03,7.34,40.4,1.27,-4.6,21.3,2597,1.64,14.1
LinearReg+RM15x2+f60,LinearReg,0.36,4.23,11.92,7.69,40.4,1.27,-4.6,21.3,2597,1.84,14.8
LinearReg+RM15x3+f40,LinearReg,0.416,4.57,11.54,6.97,37.3,1.38,-4.9,19.0,2311,1.86,15.1
LinearReg+RM15x3+f60,LinearReg,0.515,6.57,13.89,7.32,37.3,1.38,-4.9,19.0,2311,2.12,15.8
LinearReg+RM2x2+f40,LinearReg,0.193,2.97,9.67,6.7,43.7,1.3,-4.9,19.1,2318,1.57,14.4
LinearReg+RM2x2+f60,LinearReg,0.289,5.35,12.55,7.2,43.7,1.3,-5.0,19.1,2318,1.93,15.5
BBMom+RM1x2+f40,BBMom,-0.068,-1.01,1.44,2.46,35.9,1.13,-1.6,13.0,1577,0.58,7.8
BBMom+RM1x2+f60,BBMom,-0.065,-1.0,1.47,2.47,35.9,1.13,-1.7,13.0,1577,0.57,7.8
BBMom+RM1x3+f40,BBMom,-0.051,-0.9,1.6,2.5,29.2,1.2,-1.9,12.8,1561,0.53,8.0
BBMom+RM1x3+f60,BBMom,-0.046,-0.86,1.66,2.51,29.2,1.2,-1.9,12.8,1561,0.54,8.1
BBMom+RM15x2+f40,BBMom,1.375,-1.84,0.49,2.33,37.1,1.14,-2.9,12.4,1503,0.04,7.7
BBMom+RM15x2+f60,BBMom,1.306,-1.83,0.52,2.35,37.1,1.14,-3.0,12.4,1503,0.02,7.8
BBMom+RM15x3+f40,BBMom,0.224,-1.19,1.25,2.44,33.5,1.19,-3.1,12.2,1485,0.15,8.2
BBMom+RM15x3+f60,BBMom,0.284,-1.31,1.15,2.46,33.5,1.19,-3.2,12.2,1485,0.12,8.3
BBMom+RM2x2+f40,BBMom,1.501,-1.98,0.24,2.21,39.5,1.15,-3.4,11.8,1436,0.12,7.7
BBMom+RM2x2+f60,BBMom,1.567,-1.99,0.23,2.22,39.5,1.15,-3.4,11.8,1436,0.12,7.7
OrdBlock+RM1x2+f40,OrdBlock,-0.707,-4.57,7.99,12.55,34.0,1.12,-4.0,74.5,9070,1.89,6.9
OrdBlock+RM1x2+f60,OrdBlock,-0.504,-3.6,9.23,12.83,34.0,1.12,-4.1,74.5,9070,2.08,7.1
OrdBlock+RM1x3+f40,OrdBlock,-0.301,-2.29,8.22,10.51,27.0,1.14,-4.0,63.8,7765,1.83,6.8
OrdBlock+RM1x3+f60,OrdBlock,-0.195,-1.63,9.06,10.68,27.0,1.14,-4.1,63.8,7765,1.88,6.9
OrdBlock+RM15x2+f40,OrdBlock,-0.307,-3.42,6.33,9.75,32.1,1.11,-5.5,55.0,6686,0.89,7.3
OrdBlock+RM15x2+f60,OrdBlock,-0.228,-2.93,7.08,10.0,32.1,1.11,-5.6,55.0,6686,0.99,7.5
OrdBlock+RM15x3+f40,OrdBlock,-0.083,-0.92,9.22,10.14,29.0,1.17,-5.9,50.3,6120,1.27,8.3
OrdBlock+RM15x3+f60,OrdBlock,0.01,0.13,10.5,10.37,29.0,1.17,-6.0,50.3,6120,1.42,8.5
OrdBlock+RM2x2+f40,OrdBlock,-0.235,-3.06,7.13,10.19,32.1,1.14,-6.8,48.0,5841,0.85,8.7
OrdBlock+RM2x2+f60,OrdBlock,-0.15,-2.3,8.27,10.57,32.1,1.14,-6.9,48.0,5841,0.97,9.1
BrkVolume+RM1x2+f40,BrkVolume,-0.052,-0.69,2.07,2.76,39.4,1.37,-3.0,7.6,927,0.39,14.9
BrkVolume+RM1x2+f60,BrkVolume,-0.055,-0.75,2.11,2.86,39.4,1.37,-3.1,7.6,927,0.4,15.4
BrkVolume+RM1x3+f40,BrkVolume,-0.052,-0.36,2.24,2.6,33.4,1.51,-3.2,7.3,894,0.57,14.5
BrkVolume+RM1x3+f60,BrkVolume,-0.066,-0.46,2.24,2.7,33.4,1.51,-3.3,7.3,894,0.56,15.1
BrkVolume+RM15x2+f40,BrkVolume,-0.031,-0.65,2.0,2.65,40.5,1.38,-3.9,7.2,882,0.39,15.0
BrkVolume+RM15x2+f60,BrkVolume,-0.036,-0.92,1.86,2.78,40.5,1.38,-4.1,7.2,882,0.36,15.8
BrkVolume+RM15x3+f40,BrkVolume,-0.056,-1.04,1.55,2.59,37.5,1.48,-4.6,7.0,849,0.26,15.3
BrkVolume+RM15x3+f60,BrkVolume,-0.054,-1.26,1.47,2.73,37.5,1.48,-4.9,7.0,849,0.24,16.1
BrkVolume+RM2x2+f40,BrkVolume,0.023,0.27,3.18,2.91,45.1,1.47,-5.2,6.9,843,0.51,17.2
BrkVolume+RM2x2+f60,BrkVolume,0.008,0.1,3.2,3.1,45.1,1.47,-5.6,6.9,843,0.49,18.4
AdaptMTF+RM1x2+f40,AdaptMTF,4.674,85.59,114.47,28.88,48.3,1.87,-2.9,45.0,5481,37.46,26.3
AdaptMTF+RM1x2+f60,AdaptMTF,4.876,105.21,135.67,30.45,48.3,1.87,-3.0,45.0,5481,42.79,27.8
AdaptMTF+RM1x3+f40,AdaptMTF,3.627,57.72,77.0,19.28,39.0,1.83,-3.4,35.7,4339,21.64,22.2
AdaptMTF+RM1x3+f60,AdaptMTF,3.76,68.13,88.25,20.12,39.0,1.83,-3.5,35.7,4339,23.78,23.2
AdaptMTF+RM15x2+f40,AdaptMTF,3.507,68.26,88.04,19.78,48.4,1.77,-4.8,31.4,3825,18.64,25.9
AdaptMTF+RM15x2+f60,AdaptMTF,3.732,89.75,111.14,21.39,48.4,1.77,-4.9,31.4,3825,23.02,28.0
AdaptMTF+RM15x3+f40,AdaptMTF,3.071,60.27,75.7,15.44,44.3,1.85,-5.6,25.7,3130,14.89,24.7
AdaptMTF+RM15x3+f60,AdaptMTF,3.237,77.25,93.83,16.57,44.3,1.85,-5.7,25.7,3130,17.98,26.5
AdaptMTF+RM2x2+f40,AdaptMTF,3.035,68.97,85.71,16.74,51.4,1.81,-6.5,25.5,3102,12.83,27.0
AdaptMTF+RM2x2+f60,AdaptMTF,3.251,96.46,115.09,18.63,51.4,1.81,-6.9,25.5,3102,16.1,30.0
