name,net_sharpe,net_pct,gross_pct,fee_pct,winrate,pf,max_dd,t_month,n_trades,calmar,frac_pct,sl_hits,tp_hits
SMC(sw10)+RM15x2+f50,1.29,9.97,17.33,7.36,45.9,1.56,-3.9,20.1,2451,5.12,15.0,123,96
SMC(sw10)+RM15x2+f60,1.29,9.97,17.33,7.36,45.9,1.56,-3.9,20.1,2451,5.12,15.0,123,96
SMC(sw5)+RM15x3+f50,1.278,10.47,17.39,6.93,40.4,1.54,-2.5,22.7,2757,6.97,12.6,149,67
SMC(sw5)+RM15x3+f60,1.278,10.47,17.39,6.93,40.4,1.54,-2.5,22.7,2757,6.97,12.6,149,67
SMC(sw3)+RM15x2+f50,1.261,8.45,17.5,9.05,44.5,1.48,-2.4,31.7,3861,7.07,11.7,187,143
SMC(sw3)+RM15x2+f60,1.261,8.44,17.5,9.05,44.5,1.48,-2.4,31.7,3861,7.06,11.7,187,143
SMC(sw3)+RM1x3+f50,1.25,6.77,15.95,9.18,36.4,1.56,-2.0,34.6,4215,7.89,10.9,257,132
SMC(sw3)+RM1x3+f60,1.25,6.77,15.95,9.18,36.4,1.56,-2.0,34.6,4215,7.89,10.9,257,132
SMC(sw5)+RM2x2+f50,1.22,10.67,17.36,6.69,46.7,1.49,-3.3,22.5,2735,5.89,12.2,120,85
SMC(sw5)+RM2x2+f60,1.22,10.67,17.36,6.69,46.7,1.49,-3.3,22.5,2735,5.89,12.2,120,85
SMC(sw10)+RM15x3+f50,1.121,9.19,15.02,5.82,41.2,1.57,-3.3,17.2,2091,4.72,13.9,114,53
SMC(sw10)+RM15x3+f60,1.121,9.19,15.02,5.82,41.2,1.57,-3.3,17.2,2091,4.72,13.9,114,53
SMC(sw10)+RM2x2+f50,1.016,8.86,14.55,5.69,47.7,1.51,-3.8,16.5,2011,4.57,14.1,88,65
SMC(sw10)+RM2x2+f60,1.016,8.86,14.55,5.69,47.7,1.51,-3.8,16.5,2011,4.57,14.1,88,65
SMC(sw3)+RM2x2+f50,0.833,4.96,10.76,5.8,44.8,1.38,-2.0,27.9,3391,4.77,8.6,141,94
SMC(sw3)+RM2x2+f60,0.833,4.96,10.76,5.8,44.8,1.38,-2.0,27.9,3391,4.77,8.6,141,94
SMC(sw3)+RM15x3+f60,0.763,4.03,10.52,6.49,39.3,1.41,-2.2,28.0,3409,4.92,9.5,178,74
SMC(sw3)+RM15x3+f50,0.763,4.03,10.52,6.49,39.3,1.41,-2.2,28.0,3409,4.92,9.5,178,74
