scenario,name,net_pct,net_sharpe,winrate,pf,max_dd,calmar
TENDENCIA_FUERTE,"MTF(sw5,e100)+RM1x2+f50",33.67,3.129,48.7,1.94,-3.0,19.03
TENDENCIA_FUERTE,"MTF(sw3,e50)+RM1x2+f50",30.9,3.099,47.9,1.84,-2.9,18.59
TENDENCIA_FUERTE,"MTF(sw5,e50)+RM15x2+f50",27.56,2.436,48.6,1.76,-3.7,11.45
TENDENCIA_FUERTE,"MTF(sw7,e50)+RM15x2+f50",26.0,2.329,48.6,1.75,-3.7,10.03
TENDENCIA_FUERTE,"MTF(sw5,e100)+RM15x2+f50",23.66,2.219,48.4,1.76,-3.3,11.06
TENDENCIA_FUERTE,"MTF(sw3,e50)+RM15x2+f50",22.7,2.219,47.4,1.68,-3.3,10.43
TENDENCIA_FUERTE,"MTF(sw5,e50)+RM1x3+f50",19.82,2.412,39.6,1.82,-2.4,13.5
TENDENCIA_FUERTE,"MTF(sw7,e50)+RM1x3+f50",19.42,2.3,39.4,1.82,-2.6,11.95
TENDENCIA_FUERTE,"MTF(sw5,e50)+RM2x2+f50",18.15,1.863,49.2,1.63,-3.7,7.96
TENDENCIA_FUERTE,"MTF(sw5,e100)+RM2x2+f50",17.41,1.737,49.3,1.65,-3.8,7.39
TENDENCIA_FUERTE,"MTF(sw7,e50)+RM15x3+f50",17.29,1.719,42.9,1.68,-3.1,7.92
TENDENCIA_FUERTE,"MTF(sw7,e50)+RM2x2+f50",17.2,1.66,49.9,1.64,-4.1,7.08
TENDENCIA_FUERTE,"MTF(sw5,e100)+RM1x3+f50",16.56,2.135,39.5,1.82,-2.4,11.52
TENDENCIA_FUERTE,"MTF(sw5,e50)+RM15x3+f50",16.2,1.848,42.5,1.65,-2.9,8.13
TENDENCIA_FUERTE,"MTF(sw3,e50)+RM1x3+f50",15.74,2.085,38.7,1.75,-2.4,11.81
TENDENCIA_FUERTE,"MTF(sw3,e50)+RM2x2+f50",13.57,1.574,47.9,1.55,-3.3,6.9
TENDENCIA_FUERTE,"MTF(sw5,e100)+RM15x3+f50",13.39,1.608,42.3,1.66,-2.9,7.41
TENDENCIA_FUERTE,"MTF(sw3,e50)+RM15x3+f50",11.87,1.517,41.4,1.57,-2.8,7.31
TENDENCIA_PULLBACK,trail3.0·p0.67·adx13,186.82,6.714,64.2,4.07,-4.2,57.24
TENDENCIA_PULLBACK,trail2.5·p0.67·adx13,174.56,6.537,63.8,3.98,-4.2,53.82
TENDENCIA_PULLBACK,trail3.0·p0.67·adx16,174.01,6.554,64.3,4.09,-4.0,56.92
TENDENCIA_PULLBACK,trail2.5·p0.67·adx16,162.62,6.384,63.9,4.0,-3.9,54.22
TENDENCIA_PULLBACK,trail3.0·p0.5·adx13,159.01,7.368,63.9,4.33,-3.2,67.3
TENDENCIA_PULLBACK,trail3.0·p0.5·adx16,150.37,7.208,64.0,4.36,-3.0,67.39
TENDENCIA_PULLBACK,trail2.5·p0.5·adx13,147.89,7.123,63.6,4.25,-3.2,64.24
TENDENCIA_PULLBACK,trail3.0·p0.67·adx20,147.81,6.183,64.6,4.16,-4.2,44.8
TENDENCIA_PULLBACK,trail3.0·p0.33·adx13,141.85,7.768,64.1,4.89,-2.3,84.46
TENDENCIA_PULLBACK,trail2.5·p0.5·adx16,139.76,6.969,63.7,4.27,-3.0,64.21
TENDENCIA_PULLBACK,trail2.5·p0.67·adx20,138.07,6.018,64.2,4.08,-4.1,43.16
TENDENCIA_PULLBACK,trail2.0·p0.67·adx13,137.13,5.852,62.7,3.65,-4.1,46.65
TENDENCIA_PULLBACK,trail3.0·p0.33·adx16,135.18,7.561,64.2,4.89,-2.2,79.06
TENDENCIA_PULLBACK,trail2.5·p0.33·adx13,132.05,7.485,63.8,4.79,-2.3,78.24
TENDENCIA_PULLBACK,trail3.0·p0.5·adx20,131.24,6.925,64.4,4.48,-2.9,58.42
TENDENCIA_PULLBACK,trail2.0·p0.67·adx16,127.96,5.713,62.8,3.66,-3.8,46.46
TENDENCIA_PULLBACK,trail2.5·p0.33·adx16,125.0,7.272,63.9,4.79,-2.2,74.41
TENDENCIA_PULLBACK,trail2.5·p0.5·adx20,122.35,6.702,64.1,4.39,-2.9,54.68
TENDENCIA_PULLBACK,trail3.0·p0.33·adx20,119.38,7.261,64.5,5.05,-2.1,73.52
TENDENCIA_PULLBACK,"MTF(sw3,e50)+RM1x2+f60",115.7,5.207,48.3,1.88,-3.5,42.14
TENDENCIA_PULLBACK,trail2.5·p0.33·adx20,110.43,6.987,64.2,4.95,-2.1,69.41
TENDENCIA_PULLBACK,trail2.0·p0.67·adx20,109.92,5.396,63.0,3.73,-3.8,40.12
TENDENCIA_PULLBACK,trail2.0·p0.5·adx13,103.01,5.818,63.2,3.82,-3.2,50.55
TENDENCIA_PULLBACK,"MTF(sw5,e50)+RM1x2+f60",101.54,4.81,48.1,1.85,-3.0,41.43
TENDENCIA_PULLBACK,trail2.0·p0.5·adx16,97.7,5.706,63.3,3.84,-3.0,48.11
TENDENCIA_PULLBACK,trail2.0·p0.5·adx20,86.77,5.511,63.7,3.94,-2.9,42.49
TENDENCIA_PULLBACK,trail2.0·p0.33·adx13,85.68,5.811,63.5,4.25,-2.5,53.8
TENDENCIA_PULLBACK,trail2.0·p0.33·adx16,80.68,5.633,63.6,4.25,-2.4,51.89
TENDENCIA_PULLBACK,trail2.0·p0.33·adx20,72.45,5.444,63.9,4.38,-2.3,48.66
TENDENCIA_PULLBACK,trail1.5·p0.67·adx13,71.37,3.717,62.7,3.12,-4.0,33.07
TENDENCIA_PULLBACK,trail1.5·p0.67·adx16,70.48,3.73,62.9,3.15,-4.2,30.92
TENDENCIA_PULLBACK,trail1.5·p0.67·adx20,59.11,3.44,62.8,3.17,-4.1,26.97
TENDENCIA_PULLBACK,trail1.5·p0.5·adx13,39.75,2.716,65.0,3.14,-3.6,28.37
TENDENCIA_PULLBACK,trail1.5·p0.5·adx16,38.59,2.693,65.2,3.16,-3.8,25.67
TENDENCIA_PULLBACK,trail1.5·p0.5·adx20,35.35,2.67,65.3,3.22,-3.7,23.25
TENDENCIA_PULLBACK,SMC(sw7)+RM1x2+f50,30.3,2.73,47.1,1.81,-2.9,15.08
TENDENCIA_PULLBACK,SMC(sw7)+RM1x2+f60,30.29,2.728,47.1,1.81,-2.9,15.08
TENDENCIA_PULLBACK,SMC(sw10)+RM1x2+f60,23.97,2.451,46.4,1.77,-2.8,13.92
TENDENCIA_PULLBACK,SMC(sw10)+RM1x2+f50,23.94,2.452,46.4,1.77,-2.7,13.92
TENDENCIA_PULLBACK,SMC(sw5)+RM1x2+f50,23.32,2.556,46.6,1.76,-2.8,16.96
TENDENCIA_PULLBACK,SMC(sw5)+RM1x2+f60,23.31,2.555,46.6,1.76,-2.8,16.96
TENDENCIA_PULLBACK,SMC(sw5)+RM1x2,19.45,2.421,47.2,1.82,-2.4,20.45
TENDENCIA_PULLBACK,SMC(sw10)+RM1x2,17.49,2.223,47.1,1.81,-2.5,13.45
TENDENCIA_PULLBACK,SMC(sw7)+RM1x2,17.13,2.192,47.5,1.83,-2.2,15.59
TENDENCIA_PULLBACK,SMC(sw7)+RM2x2+f50,15.69,1.641,49.1,1.62,-3.3,8.05
TENDENCIA_PULLBACK,SMC(sw7)+RM2x2+f60,15.69,1.641,49.1,1.62,-3.3,8.05
TENDENCIA_PULLBACK,SMC(sw3)+RM1x2+f60,14.06,1.953,45.4,1.64,-2.2,13.67
TENDENCIA_PULLBACK,SMC(sw3)+RM1x2+f50,14.06,1.953,45.4,1.64,-2.2,13.67
TENDENCIA_PULLBACK,trail1.5·p0.33·adx16,10.87,1.015,66.3,3.25,-3.3,19.89
TENDENCIA_PULLBACK,SMC(sw5)+RM2x2+f60,10.67,1.22,46.7,1.49,-3.3,5.89
TENDENCIA_PULLBACK,SMC(sw5)+RM2x2+f50,10.67,1.22,46.7,1.49,-3.3,5.89
TENDENCIA_PULLBACK,trail1.5·p0.33·adx13,10.61,0.982,66.2,3.23,-3.3,19.91
TENDENCIA_PULLBACK,trail1.5·p0.33·adx20,10.43,1.05,66.4,3.3,-3.2,18.6
TENDENCIA_PULLBACK,SMC(sw3)+RM1x2,9.83,1.646,45.5,1.66,-1.7,14.73
TENDENCIA_PULLBACK,SMC(sw10)+RM2x2+f50,8.86,1.016,47.7,1.51,-3.8,4.57
TENDENCIA_PULLBACK,SMC(sw10)+RM2x2+f60,8.86,1.016,47.7,1.51,-3.8,4.57
VOLATILIDAD_BREAKOUT,MomBreakout_20,6.08,0.506,55.8,2.49,-5.3,6.97
MULTI_TIMEFRAME,AdaptMTF,153.29,8.003,64.2,4.91,-2.1,92.35
MULTI_TIMEFRAME,MTF_sw5_e50,150.45,7.942,64.1,4.87,-2.1,96.44
MULTI_TIMEFRAME,MTF_sw7_e50,146.51,7.731,64.3,4.72,-2.4,84.03
MULTI_TIMEFRAME,"Portfolio-Top3(AdaptMTF,MTF_sw3,MTF_sw5)",142.04,7.738,64.0,4.83,-2.3,83.51
MULTI_TIMEFRAME,MTF_sw3_e50,139.25,7.701,63.7,4.75,-2.2,82.8
MULTI_TIMEFRAME,REG[light]·AdaptMTF,105.94,5.941,63.4,3.86,-3.2,48.79
MULTI_TIMEFRAME,AdaptMTF+RM1x2+f60,105.21,4.876,48.3,1.87,-3.0,42.79
MULTI_TIMEFRAME,AdaptMTF+RM2x2+f60,96.46,3.251,51.4,1.81,-6.9,16.1
MULTI_TIMEFRAME,AdaptMTF+RM15x2+f60,89.75,3.732,48.4,1.77,-4.9,23.02
MULTI_TIMEFRAME,REG[standard]·AdaptMTF,87.33,5.535,63.6,3.94,-3.0,42.53
MULTI_TIMEFRAME,AdaptMTF+RM1x2+f40,85.59,4.674,48.3,1.87,-2.9,37.46
MULTI_TIMEFRAME,AdaptMTF+RM15x3+f60,77.25,3.237,44.3,1.85,-5.7,17.98
MULTI_TIMEFRAME,REG[strict]·AdaptMTF,74.52,4.157,49.7,1.99,-3.6,27.2
MULTI_TIMEFRAME,AdaptMTF+RM2x2+f40,68.97,3.035,51.4,1.81,-6.5,12.83
MULTI_TIMEFRAME,AdaptMTF+RM15x2+f40,68.26,3.507,48.4,1.77,-4.8,18.64
MULTI_TIMEFRAME,AdaptMTF+RM1x3+f60,68.13,3.76,39.0,1.83,-3.5,23.78
MULTI_TIMEFRAME,AdaptMTF+RM15x3+f40,60.27,3.071,44.3,1.85,-5.6,14.89
MULTI_TIMEFRAME,AdaptMTF+RM1x3+f40,57.72,3.627,39.0,1.83,-3.4,21.64
MULTI_TIMEFRAME,LinearReg+RM15x3+f60,6.57,0.515,37.3,1.38,-4.9,2.12
MULTI_TIMEFRAME,LinearReg+RM2x2+f60,5.35,0.289,43.7,1.3,-5.0,1.93
ESTADISTICO,StochRSI+RM15x3+f60,7.97,0.395,35.1,1.29,-6.8,1.95
ESTADISTICO,StochRSI+RM2x2+f60,7.74,0.308,42.0,1.27,-8.0,1.68
OTRO,SMC(sw5)+RM15x2,19.6,2.183,47.6,1.77,-3.0,13.21
OTRO,SMC(sw5)+RM15x2+f60,16.02,1.752,46.1,1.63,-3.4,9.65
OTRO,SMC(sw5)+RM15x2+f50,16.02,1.752,46.1,1.63,-3.4,9.65
OTRO,SMC(sw7)+RM15x2+f60,15.92,1.771,46.7,1.64,-3.4,7.31
OTRO,SMC(sw7)+RM15x2+f50,15.92,1.771,46.7,1.64,-3.4,7.31
OTRO,SMC(sw7)+RM15x3+f60,14.59,1.549,41.7,1.64,-3.0,6.62
OTRO,SMC(sw7)+RM15x3+f50,14.59,1.549,41.7,1.64,-3.0,6.62
OTRO,SMC(sw5)+RM1x3,14.08,2.017,39.0,1.82,-2.3,11.7
OTRO,SMC(sw7)+RM1x3+f50,12.95,1.787,37.7,1.71,-2.7,8.94
OTRO,SMC(sw7)+RM1x3+f60,12.94,1.786,37.7,1.71,-2.7,8.94
OTRO,SMC(sw7)+RM2x3,12.74,1.469,46.2,1.74,-2.9,6.86
OTRO,SMC(sw5)+RM1x3+f60,12.69,1.854,37.8,1.71,-2.3,10.32
OTRO,SMC(sw5)+RM1x3+f50,12.69,1.854,37.8,1.71,-2.3,10.32
OTRO,SMC(sw5)+RM15x3,12.46,1.707,41.7,1.69,-2.3,8.67
OTRO,SMC(sw10)+RM15x2,11.93,1.611,47.6,1.69,-3.6,6.17
OTRO,SMC(sw5)+RM2x3,11.9,1.469,44.7,1.63,-2.3,7.53
OTRO,SMC(sw7)+RM15x3,11.66,1.644,42.0,1.72,-2.9,6.59
OTRO,SMC(sw7)+RM15x2,11.53,1.637,47.3,1.68,-3.2,7.05
OTRO,SMC(sw5),11.42,1.234,53.7,,-4.3,4.71
OTRO,SMC(sw10)+RM2x3,10.57,1.303,45.6,1.67,-2.7,4.75
OTRO,SMC(sw5)+RM15x3+f50,10.47,1.278,40.4,1.54,-2.5,6.97
OTRO,SMC(sw5)+RM15x3+f60,10.47,1.278,40.4,1.54,-2.5,6.97
OTRO,SMC(sw10),10.05,0.981,54.1,,-3.8,3.49
OTRO,SMC(sw10)+RM15x2+f50,9.97,1.29,45.9,1.56,-3.9,5.12
OTRO,SMC(sw10)+RM15x2+f60,9.97,1.29,45.9,1.56,-3.9,5.12
OTRO,SMC(sw10)+RM15x3,9.93,1.38,41.7,1.69,-2.7,5.75
OTRO,SMC(sw7),9.78,1.127,54.8,,-4.0,4.54
OTRO,SMC(sw10)+RM1x3+f60,9.55,1.478,37.1,1.64,-2.5,7.98
OTRO,SMC(sw10)+RM1x3+f50,9.55,1.478,37.1,1.64,-2.5,7.98
OTRO,SMC(sw10)+RM15x3+f60,9.19,1.121,41.2,1.57,-3.3,4.72
OTRO,SMC(sw10)+RM15x3+f50,9.19,1.121,41.2,1.57,-3.3,4.72
OTRO,SMC(sw3)+RM15x2,9.17,1.41,44.8,1.55,-2.3,8.74
OTRO,SMC(sw7)+RM1x3,8.6,1.468,38.4,1.74,-2.5,8.55
OTRO,SMC(sw3)+RM15x2+f50,8.45,1.261,44.5,1.48,-2.4,7.07
OTRO,SMC(sw3)+RM15x2+f60,8.44,1.261,44.5,1.48,-2.4,7.06
OTRO,SMC(sw10)+RM1x3,8.23,1.455,38.2,1.73,-2.3,8.64
OTRO,SMC(sw3)+RM1x3,7.0,1.312,36.9,1.63,-1.8,9.66
OTRO,SMC(sw3)+RM1x3+f50,6.77,1.25,36.4,1.56,-2.0,7.89
OTRO,SMC(sw3)+RM1x3+f60,6.77,1.25,36.4,1.56,-2.0,7.89
